Id,DeveloperName,SobjectType
0123h000000z9NMAAY,General,FinServ__FinancialAccount__c
0123h000000z9NNAAY,InsurancePolicy,FinServ__FinancialAccount__c
0123h000000z9NOAAY,InvestmentAccount,FinServ__FinancialAccount__c
0123h000000z9NSAAY,BankingAccount,FinServ__FinancialAccount__c
0123h000000z9NXAAY,LoanAccount,FinServ__FinancialAccount__c
0123h000000z9NeAAI,TreasuryService,FinServ__FinancialAccount__c
0123h000000z9NZAAY,CreditCard,FinServ__FinancialAccount__c
0123h000000z9NaAAI,HELOC,FinServ__FinancialAccount__c
0123h000000z9NbAAI,SavingsAccount,FinServ__FinancialAccount__c
0123h000000z9NcAAI,AutoLoan,FinServ__FinancialAccount__c
0123h000000z9NdAAI,CheckingAccount,FinServ__FinancialAccount__c
0123h000000z9NYAAY,Mortgage,FinServ__FinancialAccount__c
